rep_id,method,input_size,time
0,original-py,9,0.022
0,optimized-py,9,0.017
1,original-py,9,0.017
1,optimized-py,9,0.017
2,original-py,9,0.016
2,optimized-py,9,0.019
3,original-py,9,0.019
3,optimized-py,9,0.019
4,original-py,9,0.016
4,optimized-py,9,0.016
0,original-py,73,0.019
0,optimized-py,73,0.018
1,original-py,73,0.017
1,optimized-py,73,0.017
2,original-py,73,0.016
2,optimized-py,73,0.016
3,original-py,73,0.017
3,optimized-py,73,0.017
4,original-py,73,0.017
4,optimized-py,73,0.018
0,original-py,33,0.021
0,optimized-py,33,0.018000000000000002
1,original-py,33,0.016
1,optimized-py,33,0.016
2,original-py,33,0.016
2,optimized-py,33,0.016
3,original-py,33,0.017
3,optimized-py,33,0.016
4,original-py,33,0.016
4,optimized-py,33,0.016
0,original-py,90,0.017
0,optimized-py,90,0.017
1,original-py,90,0.017
1,optimized-py,90,0.017
2,original-py,90,0.016
2,optimized-py,90,0.018
3,original-py,90,0.017
3,optimized-py,90,0.017
4,original-py,90,0.016
4,optimized-py,90,0.017
0,original-py,84,0.018000000000000002
0,optimized-py,84,0.017
1,original-py,84,0.017
1,optimized-py,84,0.016
2,original-py,84,0.016
2,optimized-py,84,0.016
3,original-py,84,0.017
3,optimized-py,84,0.017
4,original-py,84,0.017
4,optimized-py,84,0.016
0,original-py,48,0.017
0,optimized-py,48,0.017
1,original-py,48,0.017
1,optimized-py,48,0.016
2,original-py,48,0.016
2,optimized-py,48,0.016
3,original-py,48,0.016
3,optimized-py,48,0.017
4,original-py,48,0.016
4,optimized-py,48,0.016
0,original-py,72,0.017
0,optimized-py,72,0.017
1,original-py,72,0.017
1,optimized-py,72,0.018
2,original-py,72,0.017
2,optimized-py,72,0.016
3,original-py,72,0.017
3,optimized-py,72,0.016
4,original-py,72,0.016
4,optimized-py,72,0.016
0,original-py,63,0.019
0,optimized-py,63,0.017
1,original-py,63,0.016
1,optimized-py,63,0.016
2,original-py,63,0.016
2,optimized-py,63,0.016
3,original-py,63,0.016
3,optimized-py,63,0.017
4,original-py,63,0.016
4,optimized-py,63,0.016
0,original-py,72,0.017
0,optimized-py,72,0.017
1,original-py,72,0.018
1,optimized-py,72,0.018
2,original-py,72,0.017
2,optimized-py,72,0.016
3,original-py,72,0.017
3,optimized-py,72,0.016
